"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40106","should be able to select a leave request and display approve/reject buttons","","Tue Nov 18 14:53:10 IST 2025","passed","Tue Nov 18 14:53:50 IST 2025","Leave Request Approval","Admin Leave Management Functional Tests","",""
"","3652","should navigate to login page and display Sign in with Cognito button","","Tue Nov 18 15:04:50 IST 2025","passed","Tue Nov 18 15:04:53 IST 2025","Login Flow","Admin Dashboard UI Automation Tests","",""
"","12575","should display end date input","","Tue Nov 18 15:00:53 IST 2025","passed","Tue Nov 18 15:01:05 IST 2025","Attendance Management Page","Admin Attendance Management Functional Tests","",""
"","4530","should click Login button and redirect to Cognito hosted UI","","Tue Nov 18 15:04:53 IST 2025","passed","Tue Nov 18 15:04:58 IST 2025","Login Flow","Admin Dashboard UI Automation Tests","",""
"","2450","should display dashboard content","","Tue Nov 18 15:06:57 IST 2025","passed","Tue Nov 18 15:07:00 IST 2025","Dashboard Navigation","Admin Dashboard UI Automation Tests","",""
"","12407","should display Export button","","Tue Nov 18 15:01:05 IST 2025","passed","Tue Nov 18 15:01:18 IST 2025","Attendance Management Page","Admin Attendance Management Functional Tests","",""
"","14880","should close role modal when Cancel button is clicked","","Tue Nov 18 14:57:42 IST 2025","passed","Tue Nov 18 14:57:56 IST 2025","Users Page - Role Management","Users Page Functional Tests (ADMIN)","",""
"","2790","should be able to enter reason","","Tue Nov 18 15:04:39 IST 2025","passed","Tue Nov 18 15:04:42 IST 2025","Apply Leave Form Interactions","Apply Leave Functional Tests","",""
"","33661","should display users page header","","Tue Nov 18 14:56:20 IST 2025","passed","Tue Nov 18 14:56:54 IST 2025","Users Page - Search and Display","Users Page Functional Tests (ADMIN)","",""
"","3614","should capture screenshot of dashboard","","Tue Nov 18 15:07:10 IST 2025","passed","Tue Nov 18 15:07:13 IST 2025","Screenshot Capture","Admin Dashboard UI Automation Tests","",""
"","12644","should display Attendance Management header","","Tue Nov 18 15:00:15 IST 2025","passed","Tue Nov 18 15:00:28 IST 2025","Attendance Management Page","Admin Attendance Management Functional Tests","",""
"","13041","should display Leave Requests Management header","","Tue Nov 18 14:52:03 IST 2025","passed","Tue Nov 18 14:52:16 IST 2025","Admin Leave Management Page","Admin Leave Management Functional Tests","",""
"","22640","should display leave type select field","","Tue Nov 18 15:04:01 IST 2025","passed","Tue Nov 18 15:04:23 IST 2025","Apply Leave Page","Apply Leave Functional Tests","",""
"","2248","should display start date input","","Tue Nov 18 15:04:23 IST 2025","passed","Tue Nov 18 15:04:25 IST 2025","Apply Leave Page","Apply Leave Functional Tests","",""
"","12744","should display user filter dropdown","","Tue Nov 18 15:00:28 IST 2025","passed","Tue Nov 18 15:00:40 IST 2025","Attendance Management Page","Admin Attendance Management Functional Tests","",""
"","2930","should click View button to navigate to user detail","","Tue Nov 18 14:57:56 IST 2025","passed","Tue Nov 18 14:57:59 IST 2025","Users Page - Navigation","Users Page Functional Tests (ADMIN)","",""
"","493","should submit login form and redirect to dashboard (if credentials provided)","","Tue Nov 18 15:04:58 IST 2025","passed","Tue Nov 18 15:04:58 IST 2025","Login Flow","Admin Dashboard UI Automation Tests","",""
"","13962","should be able to type in search field","","Tue Nov 18 14:57:07 IST 2025","passed","Tue Nov 18 14:57:21 IST 2025","Users Page - Search and Display","Users Page Functional Tests (ADMIN)","",""
"","3082","should be able to fill in end date","","Tue Nov 18 15:04:36 IST 2025","passed","Tue Nov 18 15:04:39 IST 2025","Apply Leave Form Interactions","Apply Leave Functional Tests","",""
"","3283","should navigate to Profile page","","Tue Nov 18 15:07:03 IST 2025","passed","Tue Nov 18 15:07:06 IST 2025","Navigation Tests","Admin Dashboard UI Automation Tests","",""
"","118887","should navigate to dashboard","","Tue Nov 18 15:04:58 IST 2025","passed","Tue Nov 18 15:06:57 IST 2025","Dashboard Navigation","Admin Dashboard UI Automation Tests","",""
"","2713","should display checkboxes for ADMIN and EMPLOYEE roles in modal","","Tue Nov 18 14:57:39 IST 2025","passed","Tue Nov 18 14:57:42 IST 2025","Users Page - Role Management","Users Page Functional Tests (ADMIN)","",""
"","8","should fill in email and password on Cognito login form (if credentials provided)","","Tue Nov 18 15:04:58 IST 2025","passed","Tue Nov 18 15:04:58 IST 2025","Login Flow","Admin Dashboard UI Automation Tests","",""
"","2759","should be able to fill in start date","","Tue Nov 18 15:04:33 IST 2025","passed","Tue Nov 18 15:04:36 IST 2025","Apply Leave Form Interactions","Apply Leave Functional Tests","",""
"","13557","should display users table","","Tue Nov 18 14:57:21 IST 2025","passed","Tue Nov 18 14:57:35 IST 2025","Users Page - Search and Display","Users Page Functional Tests (ADMIN)","",""
"","13598","should display search input field","","Tue Nov 18 14:56:54 IST 2025","passed","Tue Nov 18 14:57:07 IST 2025","Users Page - Search and Display","Users Page Functional Tests (ADMIN)","",""
"","25470","should display leave requests table or empty state","","Tue Nov 18 14:52:45 IST 2025","passed","Tue Nov 18 14:53:10 IST 2025","Admin Leave Management Page","Admin Leave Management Functional Tests","",""
"","12347","should display status filter dropdown","","Tue Nov 18 14:52:16 IST 2025","passed","Tue Nov 18 14:52:28 IST 2025","Admin Leave Management Page","Admin Leave Management Functional Tests","",""
"","12824","should be able to set date range","","Tue Nov 18 15:01:18 IST 2025","passed","Tue Nov 18 15:01:31 IST 2025","Attendance Management Page","Admin Attendance Management Functional Tests","",""
"","2233","should display display name input field","","Tue Nov 18 15:09:26 IST 2025","passed","Tue Nov 18 15:09:28 IST 2025","Profile Page Display","Profile Page Functional Tests","",""
"","2691","should be able to edit display name","","Tue Nov 18 15:09:32 IST 2025","passed","Tue Nov 18 15:09:35 IST 2025","Profile Update","Profile Page Functional Tests","",""
"","2451","should display Profile header","","Tue Nov 18 15:09:23 IST 2025","passed","Tue Nov 18 15:09:26 IST 2025","Profile Page Display","Profile Page Functional Tests","",""
"","2428","should display reason textarea","","Tue Nov 18 15:04:28 IST 2025","passed","Tue Nov 18 15:04:30 IST 2025","Apply Leave Page","Apply Leave Functional Tests","",""
"","2450","should display leave requests table or empty state","","Tue Nov 18 15:11:50 IST 2025","passed","Tue Nov 18 15:11:52 IST 2025","Leave History Page","Leave History Functional Tests","",""
"","12435","should display start date input","","Tue Nov 18 15:00:40 IST 2025","passed","Tue Nov 18 15:00:53 IST 2025","Attendance Management Page","Admin Attendance Management Functional Tests","",""
"","2866","should be able to select locale","","Tue Nov 18 15:09:35 IST 2025","passed","Tue Nov 18 15:09:38 IST 2025","Profile Update","Profile Page Functional Tests","",""
"","3450","should navigate to Users page","","Tue Nov 18 15:07:00 IST 2025","passed","Tue Nov 18 15:07:03 IST 2025","Navigation Tests","Admin Dashboard UI Automation Tests","",""
"","2441","should display locale select field","","Tue Nov 18 15:09:28 IST 2025","passed","Tue Nov 18 15:09:30 IST 2025","Profile Page Display","Profile Page Functional Tests","",""
"","3033","should be able to click save button","","Tue Nov 18 15:09:38 IST 2025","passed","Tue Nov 18 15:09:41 IST 2025","Profile Update","Profile Page Functional Tests","",""
"","2207","should display save button","","Tue Nov 18 15:09:30 IST 2025","passed","Tue Nov 18 15:09:32 IST 2025","Profile Page Display","Profile Page Functional Tests","",""
"","3285","should navigate to Leave page","","Tue Nov 18 15:07:06 IST 2025","passed","Tue Nov 18 15:07:10 IST 2025","Navigation Tests","Admin Dashboard UI Automation Tests","",""
"","2236","should display pagination controls if multiple pages exist","","Tue Nov 18 14:54:16 IST 2025","passed","Tue Nov 18 14:54:18 IST 2025","Pagination","Admin Leave Management Functional Tests","",""
"","12245","should display pagination controls if multiple pages exist","","Tue Nov 18 14:57:59 IST 2025","passed","Tue Nov 18 14:58:12 IST 2025","Users Page - Pagination","Users Page Functional Tests (ADMIN)","",""
