"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2192","testSearchUsers_ByDisplayName_ReturnsMatchingUsers()","","Fri Nov 07 00:08:10 IST 2025","passed","Fri Nov 07 00:08:12 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testSearchUsers_ByDisplayName_ReturnsMatchingUsers"
"","135","testUpdateUserRoles_EmptyRolesList_Handled()","","Fri Nov 07 00:08:01 IST 2025","passed","Fri Nov 07 00:08:01 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateUserRoles_EmptyRolesList_Handled"
"","108","updateProfile_TrimsWhitespace()","","Fri Nov 07 00:08:53 IST 2025","passed","Fri Nov 07 00:08:53 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateProfileTest","com.itcenter.auth.unit.UserServiceUpdateProfileTest","updateProfile_TrimsWhitespace"
"","127","testGetUserById_NonExistentUser_Returns404()","","Fri Nov 07 00:08:03 IST 2025","passed","Fri Nov 07 00:08:03 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testGetUserById_NonExistentUser_Returns404"
"","1563","testSearchUsers_ByEmail_ReturnsMatchingUsers()","","Fri Nov 07 00:08:21 IST 2025","passed","Fri Nov 07 00:08:22 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testSearchUsers_ByEmail_ReturnsMatchingUsers"
"","1937","testExistsByEmail_ReturnsTrue_WhenExists()","","Fri Nov 07 00:08:14 IST 2025","passed","Fri Nov 07 00:08:15 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testExistsByEmail_ReturnsTrue_WhenExists"
"","586","searchUsers_WithQuery_FiltersResults()","","Fri Nov 07 00:08:51 IST 2025","passed","Fri Nov 07 00:08:52 IST 2025","","com.itcenter.auth.unit.UserServiceTest","com.itcenter.auth.unit.UserServiceTest","searchUsers_WithQuery_FiltersResults"
"","1435","testUserWithRoles_AssociatesCorrectly()","","Fri Nov 07 00:08:16 IST 2025","passed","Fri Nov 07 00:08:17 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testUserWithRoles_AssociatesCorrectly"
"","91","testUpdateMe_InvalidPayload_Returns400()","","Fri Nov 07 00:08:03 IST 2025","passed","Fri Nov 07 00:08:03 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateMe_InvalidPayload_Returns400"
"","2251","testFindByName_ReturnsRole_WhenExists()","","Fri Nov 07 00:08:32 IST 2025","passed","Fri Nov 07 00:08:34 IST 2025","","com.itcenter.auth.repository.RoleRepositoryTest","com.itcenter.auth.repository.RoleRepositoryTest","testFindByName_ReturnsRole_WhenExists"
