"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65","updateUserRoles_CaseInsensitiveRoleNames()","","Mon Nov 03 09:05:22 IST 2025","failed","Mon Nov 03 09:05:22 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_CaseInsensitiveRoleNames"
"","3","testUpdateUserRoles_Success()","","Mon Nov 03 09:05:10 IST 2025","broken","Mon Nov 03 09:05:10 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testUpdateUserRoles_Success"
"","197","findOrCreateFromJwt_UsesFallbackEmail_WhenMissing()","","Mon Nov 03 09:05:17 IST 2025","passed","Mon Nov 03 09:05:17 IST 2025","","com.itcenter.auth.unit.UserProvisioningServiceTest","com.itcenter.auth.unit.UserProvisioningServiceTest","findOrCreateFromJwt_UsesFallbackEmail_WhenMissing"
"","4","testFindByCognitoSub_ReturnsUser_WhenExists()","","Mon Nov 03 09:05:09 IST 2025","broken","Mon Nov 03 09:05:09 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testFindByCognitoSub_ReturnsUser_WhenExists"
"","892","updateProfile_UpdatesLocale()","","Mon Nov 03 09:05:19 IST 2025","passed","Mon Nov 03 09:05:20 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateProfileTest","com.itcenter.auth.unit.UserServiceUpdateProfileTest","updateProfile_UpdatesLocale"
"","1132","getUserById_ThrowsException_WhenNotExists()","","Mon Nov 03 09:05:17 IST 2025","passed","Mon Nov 03 09:05:18 IST 2025","","com.itcenter.auth.unit.UserServiceTest","com.itcenter.auth.unit.UserServiceTest","getUserById_ThrowsException_WhenNotExists"
"","60","updateProfile_UpdatesBothFields()","","Mon Nov 03 09:05:20 IST 2025","passed","Mon Nov 03 09:05:20 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateProfileTest","com.itcenter.auth.unit.UserServiceUpdateProfileTest","updateProfile_UpdatesBothFields"
"","15","updateUserRoles_AddRole_Success()","","Mon Nov 03 09:05:22 IST 2025","passed","Mon Nov 03 09:05:22 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateRolesTest","com.itcenter.auth.unit.UserServiceUpdateRolesTest","updateUserRoles_AddRole_Success"
"","74","testUpdateMe_InvalidPayload_Returns400()","","Mon Nov 03 09:05:06 IST 2025","broken","Mon Nov 03 09:05:06 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testUpdateMe_InvalidPayload_Returns400"
"","127","testGetHealthz_Returns200()","","Mon Nov 03 09:05:05 IST 2025","broken","Mon Nov 03 09:05:06 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testGetHealthz_Returns200"
"","46","testListUsers_WithAdminRole_Returns200()","","Mon Nov 03 09:05:05 IST 2025","broken","Mon Nov 03 09:05:05 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testListUsers_WithAdminRole_Returns200"
"","34","testListUsers_WithoutAdminRole_Returns403()","","Mon Nov 03 09:05:06 IST 2025","broken","Mon Nov 03 09:05:06 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testListUsers_WithoutAdminRole_Returns403"
"","105","updateProfile_NoChanges_DoesNotSave()","","Mon Nov 03 09:05:20 IST 2025","passed","Mon Nov 03 09:05:20 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateProfileTest","com.itcenter.auth.unit.UserServiceUpdateProfileTest","updateProfile_NoChanges_DoesNotSave"
"","486","searchUsers_WithQuery_FiltersResults()","","Mon Nov 03 09:05:18 IST 2025","passed","Mon Nov 03 09:05:19 IST 2025","","com.itcenter.auth.unit.UserServiceTest","com.itcenter.auth.unit.UserServiceTest","searchUsers_WithQuery_FiltersResults"
"","9","testFindByEmail_ReturnsUser_WhenExists()","","Mon Nov 03 09:05:09 IST 2025","broken","Mon Nov 03 09:05:09 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testFindByEmail_ReturnsUser_WhenExists"
"","44","testGetMe_WithoutJWT_Returns401()","","Mon Nov 03 09:05:05 IST 2025","broken","Mon Nov 03 09:05:05 IST 2025","","com.itcenter.auth.it.ApiEndpointIntegrationTest","com.itcenter.auth.it.ApiEndpointIntegrationTest","testGetMe_WithoutJWT_Returns401"
"","32","updateProfile_TrimsWhitespace()","","Mon Nov 03 09:05:20 IST 2025","passed","Mon Nov 03 09:05:20 IST 2025","","com.itcenter.auth.unit.UserServiceUpdateProfileTest","com.itcenter.auth.unit.UserServiceUpdateProfileTest","updateProfile_TrimsWhitespace"
"","3103","findOrCreateFromJwt_FindsExistingUser_WhenExists()","","Mon Nov 03 09:05:13 IST 2025","passed","Mon Nov 03 09:05:17 IST 2025","","com.itcenter.auth.unit.UserProvisioningServiceTest","com.itcenter.auth.unit.UserProvisioningServiceTest","findOrCreateFromJwt_FindsExistingUser_WhenExists"
"","12","testFindByCognitoSub_ReturnsEmpty_WhenNotExists()","","Mon Nov 03 09:05:09 IST 2025","broken","Mon Nov 03 09:05:09 IST 2025","","com.itcenter.auth.repository.AppUserRepositoryTest","com.itcenter.auth.repository.AppUserRepositoryTest","testFindByCognitoSub_ReturnsEmpty_WhenNotExists"
"","18","logEvent_WithAppUser_SavesSuccessfully()","","Mon Nov 03 09:05:12 IST 2025","passed","Mon Nov 03 09:05:12 IST 2025","","com.itcenter.auth.unit.AuditServiceTest","com.itcenter.auth.unit.AuditServiceTest","logEvent_WithAppUser_SavesSuccessfully"
"","20223","should bypass Cognito login with pre-seeded token and reach dashboard","Login Flow","Mon Nov 03 09:08:11 IST 2025","passed","Mon Nov 03 09:08:31 IST 2025","","","",""
"","691","findOrCreateFromJwt_CreatesNewUser_WhenNotExists()","","Mon Nov 03 09:05:13 IST 2025","passed","Mon Nov 03 09:05:13 IST 2025","","com.itcenter.auth.unit.UserProvisioningServiceTest","com.itcenter.auth.unit.UserProvisioningServiceTest","findOrCreateFromJwt_CreatesNewUser_WhenNotExists"
