kpi_code,user_id,measured_at,value
TICKET_RESOLUTION_TIME,38,2025-01-15T10:00:00Z,18.5
FIRST_RESPONSE_TIME,38,2025-01-15T10:00:00Z,90
TICKETS_RESOLVED,38,2025-01-15T10:00:00Z,245
TICKET_BACKLOG,,2025-01-15T10:00:00Z,42
SYSTEM_UPTIME,,2025-01-15T10:00:00Z,99.7
INFRASTRUCTURE_UTILIZATION,,2025-01-15T10:00:00Z,72.3
MEAN_TIME_TO_RECOVERY,,2025-01-15T10:00:00Z,25
SECURITY_INCIDENTS,,2025-01-15T10:00:00Z,3
PATCH_COMPLIANCE,,2025-01-15T10:00:00Z,96.5
CHANGE_SUCCESS_RATE,,2025-01-15T10:00:00Z,97.2
IT_SERVICE_SATISFACTION,,2025-01-15T10:00:00Z,4.2
SERVICE_REQUEST_FULFILLMENT_TIME,,2025-01-15T10:00:00Z,36

