"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","normalizes ISO string to YYYY-MM-DD","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","normalizeDateOnly","dateUtils","",""
"","4","parses a valid ISO date string","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","parseIsoDate","dateUtils","",""
"","3","handles case-insensitive direction","","Mon Nov 17 10:14:35 IST 2025","passed","Mon Nov 17 10:14:35 IST 2025","parseSort","pagination utilities","",""
"","38","uses request origin when it matches allowed origins","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","successResponse","response utilities","",""
"","1","uses page from pagination input","","Mon Nov 17 10:14:35 IST 2025","passed","Mon Nov 17 10:14:35 IST 2025","buildPaginationResult","pagination utilities","",""
"","2","includes optional details","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","ValidationError","Error classes","",""
"","3","calculates rounded difference in minutes","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","calculateDurationMinutes","dateUtils","",""
"","3","allows undefined details","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","ApplicationError","Error classes","",""
"","22","handles empty allowed origins list","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","successResponse","response utilities","",""
"","2","includes optional details","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","ApplicationError","Error classes","",""
"","2","creates error with FORBIDDEN code and 403 status","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","ForbiddenError","Error classes","",""
"","3","defaults source to ""mobile"" when not provided","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","clockIn","AttendanceService","",""
"","118","creates leave request successfully","","Mon Nov 17 10:14:33 IST 2025","passed","Mon Nov 17 10:14:33 IST 2025","","createRequest handler","",""
"","14","returns balances for current user","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","","getBalance handler","",""
"","4","throws when longitude is missing","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","clockIn geo-fencing","AttendanceService","",""
"","3","parses request ID from path parameters","","Mon Nov 17 10:14:34 IST 2025","passed","Mon Nov 17 10:14:34 IST 2025","","updateRequest handler","",""
"","1","excludes current request when requestId provided","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","hasOverlappingRequest","LeaveRepository","",""
"","50","returns existing balances when present","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","getBalances","LeaveService","",""
"","2","returns null when request not found","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","getLeaveRequestById","LeaveRepository","",""
"","2","throws when latitude is missing","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","clockIn geo-fencing","AttendanceService","",""
"","2","creates error with NOT_FOUND code and 404 status","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","NotFoundError","Error classes","",""
"","3","excludes configured holidays from working days","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","calculateLeaveDays","dateUtils","",""
"","1","returns false when no overlapping request","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","hasOverlappingRequest","LeaveRepository","",""
"","4","passes filters to repository","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","getLeaveSummary","ReportService","",""
"","2","inserts leave balance with ON CONFLICT DO NOTHING","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","initializeLeaveBalance","LeaveRepository","",""
"","4","calculates working days between two dates (inclusive) excluding weekends","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","calculateLeaveDays","dateUtils","",""
"","5","throws when timestamp is invalid","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","clockOut","AttendanceService","",""
"","2","returns false when point is outside radius","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","isWithinGeoFence","dateUtils","",""
"","3","uses custom message when provided","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","UnauthorizedError","Error classes","",""
"","27","uses first allowed origin when request origin is not provided","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","errorResponse","response utilities","",""
"","4","allows admin to view all logs when userId is null","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","listLogs","AttendanceService","",""
"","4","allows owner to cancel their own request","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","updateRequest","LeaveService","",""
"","6","updates leave request status and adjusts balance","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","transitionLeaveRequest","LeaveRepository","",""
"","21","uses request origin when it matches allowed origins","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","errorResponse","response utilities","",""
"","28","throws ValidationError when size exceeds MAX_PAGE_SIZE","","Mon Nov 17 10:14:35 IST 2025","passed","Mon Nov 17 10:14:35 IST 2025","normalizePagination","pagination utilities","",""
"","4","uses user email as userName when displayName is null","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","clockIn","AttendanceService","",""
"","3","returns true when overlapping request exists","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","hasOverlappingRequest","LeaveRepository","",""
"","2","handles null","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","toApplicationError","Error classes","",""
"","31","includes extra headers when provided","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","successResponse","response utilities","",""
"","28","includes extra headers when provided","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","errorResponse","response utilities","",""
"","3","parses and validates query parameters, applying defaults","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","parseQuery","validation helpers","",""
"","3","defaults to DESC when direction is invalid","","Mon Nov 17 10:14:35 IST 2025","passed","Mon Nov 17 10:14:35 IST 2025","parseSort","pagination utilities","",""
"","4","filters by teamId when provided","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","getLeaveSummary","ReportRepository","",""
"","1","filters by date range when provided","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","getLeaveSummary","ReportRepository","",""
"","4","throws ValidationError when path parameters are invalid","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","parsePathParameters","validation helpers","",""
"","1","uses custom message when provided","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","ValidationError","Error classes","",""
"","2","handles number","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","toApplicationError","Error classes","",""
"","2","returns active leave policies","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","getLeavePolicies","LeaveRepository","",""
"","18","returns mapped leave balances for user and year","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","getLeaveBalances","LeaveRepository","",""
"","36","creates error response with status code and error body","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","errorResponse","response utilities","",""
"","16","returns leave summary with policies and totals","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","getLeaveSummary","ReportRepository","",""
"","3","uses provided timestamp","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","clockOut","AttendanceService","",""
"","5","uses provided timestamp","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","clockIn","AttendanceService","",""
"","6","throws ValidationError when size is less than 1","","Mon Nov 17 10:14:35 IST 2025","passed","Mon Nov 17 10:14:35 IST 2025","normalizePagination","pagination utilities","",""
"","1","uses default sort when input is undefined and default is DESC","","Mon Nov 17 10:14:35 IST 2025","passed","Mon Nov 17 10:14:35 IST 2025","parseSort","pagination utilities","",""
"","5","throws when non-admin tries to force clock-out","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","forceClockOut","AttendanceService","",""
"","2","combines all filters correctly","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","getLeaveSummary","ReportRepository","",""
"","6","allows clock-in when within geofence","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","clockIn geo-fencing","AttendanceService","",""
"","4","throws if clock-out is before clock-in","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","calculateDurationMinutes","dateUtils","",""
"","1","defaults size to items length when not provided","","Mon Nov 17 10:14:35 IST 2025","passed","Mon Nov 17 10:14:35 IST 2025","buildPaginationResult","pagination utilities","",""
"","10","parses and validates a valid JSON body","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","parseBody","validation helpers","",""
"","2","returns 0.5 for half-day requests regardless of range size (validated elsewhere)","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","calculateLeaveDays","dateUtils","",""
"","11","creates error with code, message, and status code","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","ApplicationError","Error classes","",""
"","5","creates leave request and returns mapped result","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","createLeaveRequest","LeaveRepository","",""
"","2","handles Error without message","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","toApplicationError","Error classes","",""
"","2","handles null latitude and longitude","","Mon Nov 17 10:14:38 IST 2025","passed","Mon Nov 17 10:14:38 IST 2025","insertClockIn","AttendanceRepository","",""
"","11","initializes balances when none exist","","Mon Nov 17 10:14:37 IST 2025","passed","Mon Nov 17 10:14:37 IST 2025","getBalances","LeaveService","",""
"","38","handles error without details","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","errorResponse","response utilities","",""
"","75","handles error with null details","","Mon Nov 17 10:14:36 IST 2025","passed","Mon Nov 17 10:14:36 IST 2025","errorResponse","response utilities","",""
